Date,N10,N50,N60,N170,N180,N240,N250,N20,N30,N40,N70,N75,N80,N85,N90,N95,N100,N110,N120,N130,N140,N150,N160,N185,N190,N200,N210,N220,N230,N260,N265,N270,N280,N290,N295,N300,N310,N320,N330,N340,N350
1997-11-21,107.55058670184675,5235.598296194084,50.2633522592689,11.434596419133362,0.0,15.269769401758033,4240.935834595233,31.37821775977195,10.295227681918433,10.928493548038574,86.13556258680974,5236.470336350633,67.81007089284175,6.814603349051456,13.831787037974776,5120.234397956982,52.919582128044865,1.3472881141109379,172.28969930471305,30.69499879516495,5063.374605124872,44.89909967812331,230.2300357090126,0.0,0.0,0.0,0.0,1.504169857139305,5067.1397772333385,4399.618184612249,8.889153305166682,9.686327475235148,3338.2595686205646,9058.972328093056,4.532050461697484,8257.397389752303,547.3813920466714,8624.119980333266,818.038083651497,547.3813920466714,8624.119980333266
1997-12-01,91.0834159532949,4603.9636986549895,50.2633522592689,11.411417717386227,0.0,15.074111985250747,3749.19426990811,26.57386954112542,10.121827956322015,10.645454656641405,84.88213031691144,4604.824600195819,59.63052639117858,6.726107625544,13.595451748037782,4502.609544220738,46.53619288620502,1.3050189795166482,147.8424487703062,26.992435070960774,4452.60842591443,39.48317577380854,198.68490647274288,0.0,0.0,0.0,0.0,1.3950087878628206,4456.081828512677,3886.147545630831,8.615344341444144,9.488036141304843,2948.6579709681764,7980.856349343069,4.39958215161422,7274.677524147595,482.23706840128125,7591.794907447779,722.5664950048363,482.23706840128125,7591.794907447779
1997-12-11,126.51130240146263,4042.9708720777935,50.2633522592689,11.543728486694263,0.0,15.653687244699775,3341.6143794250806,36.910065463708825,10.473798379695982,11.221540549856147,83.69458526436328,4043.820660600048,52.36576320688744,6.640717333775359,13.36911542431908,3954.058424019128,40.866707116467026,1.2649017513967014,178.27859057229927,23.70395750040399,3910.148921960883,34.6729562584079,224.20013523754105,0.0,0.0,0.0,0.0,2.0950150829296366,3915.092856398906,3539.9718709078056,8.41611606903733,9.346013933056685,2685.993300972575,7117.125956391492,4.284789851338811,6487.373530504705,430.04682786144986,6837.065922465489,658.2007083218845,430.04682786144986,6837.065922465489
1997-12-21,82.89863462104256,3456.3879853486874,50.2633522592689,11.57520457020603,0.0,16.290175094313593,2981.691208608969,24.185934162664854,10.027602757945624,10.492306719849967,82.36093951534453,3457.22455814841,44.76959236322111,6.542861828900398,13.111885835798532,3380.48322000612,34.93858786327664,1.2197618534203185,126.18136104345545,20.26546448861128,3342.9432246421047,29.643301704281317,164.78531533254548,0.0,0.0,0.0,0.0,2.290328874563039,3348.21689150291,3263.9717685666287,8.247269433695312,9.227162073351563,2476.575132413503,6284.049190831146,4.165140606203124,5728.010805875501,379.70880903341873,5989.68530371677,606.8829381579965,379.70880903341873,5989.68530371677
1998-01-01,69.30119709070829,3013.705949918081,50.2633522592689,11.382455475567461,0.0,15.21403932688994,2674.407225573806,20.218839524822226,9.85597775844694,10.214594019259355,81.27757172939111,3014.531136711159,39.03690023221301,6.461699417135072,12.900351992975535,2947.616434061149,30.464743962993904,1.1830201425385707,106.91159689272979,17.670496282009378,2914.8833896801893,25.84751278937403,140.48718424361766,0.0,0.0,0.0,0.0,1.266201867978592,2917.9347604902146,2820.452461392833,7.953668874861572,9.023854922343963,2140.0498911506925,5456.435682283961,4.0355796004278925,4973.627926924834,329.7009032823091,5197.1183745563785,524.417672110173,329.7009032823091,5197.1183745563785
1998-01-11,61.46611953563601,2722.884325040315,50.2633522592689,11.35028094707264,0.0,14.97200658278873,2411.0005822585695,17.93293130965544,9.746429474361866,10.038196488087873,80.52192448402053,2723.7011813512436,35.2707756055123,6.404123507543764,12.751330089071491,2663.2421426509704,27.52562682503823,1.1573514119428645,95.3967413287357,15.965717193049269,2633.667051996272,23.353847721810734,125.69968370253645,0.0,0.0,0.0,0.0,1.1326921378744932,2636.399404928144,2532.862942705653,7.745561934775102,8.88237750304989,1921.8381231499486,4917.091065482849,3.9441114274369444,4482.006728663823,297.1114222192163,4682.112924396416,470.94503678742143,297.1114222192163,4682.112924396416
1998-01-21,81.50619519978912,2544.165914001902,50.2633522592689,11.25193443497849,0.0,14.815507534125382,2169.963807760614,23.77968563611329,10.010950494425312,10.465290403326057,80.03739097383674,2544.9772443156876,32.95637638959409,6.366759086062845,12.655096501480607,2488.4854093233257,25.719449102891133,1.1408733040518655,114.15114257305643,14.918078100378166,2460.8509781933144,21.821413973810454,143.0967764706192,0.0,0.0,0.0,0.0,0.7833655430979976,2462.7983604991578,2277.2846497867276,7.546254017072897,8.748964990322587,1727.9152311925625,4519.220514196894,3.87236567148437,4119.341391729347,273.0704020759162,4342.422045916362,423.4243729049157,273.0704020759162,4342.422045916362
1998-02-01,57.774450476601956,2278.946358622479,50.2633522592689,11.072601873795733,0.0,14.688243555947162,1981.9932379931568,16.855875394074886,9.691499817309214,9.950010497132173,79.28580711573319,2279.748807347351,29.521780572489817,6.308069657285117,12.504716663193593,2229.1443495918434,23.03905999509747,1.1152826568981484,86.44637638329313,13.363369292677692,2204.3898801555933,19.547264162200257,111.98874163980649,0.0,0.0,0.0,0.0,0.3459257075333558,2205.312833984722,2078.3437421366903,7.37998695269466,8.639253563025465,1576.9665895864432,4079.420631068588,3.788108101643289,3718.4568017968927,246.4958345057985,3895.495467933346,386.43451787087736,246.4958345057985,3895.495467933346
1998-02-11,51.2379240453995,2283.4404351723524,50.2633522592689,11.16108852447149,0.0,14.524834808142087,1840.2365211417755,14.948823503048303,9.58807537861584,9.78446040016443,79.29889630690465,2284.243041974638,29.579979005615623,6.309099667258235,12.507347522459655,2233.538823971156,23.08447856966867,1.1157286588189865,79.67997545710456,13.389713474465971,2208.7355542489436,19.585799105691994,105.08455918879595,0.0,0.0,0.0,0.0,0.5323575267990179,2210.0962727711294,1923.9913662230435,7.243140276451999,8.55005190755851,1459.8499957794604,3955.411665867082,3.7632904375251885,3605.4206572460066,239.0026887559476,3772.07873239315,357.7351815873168,239.0026887559476,3772.07873239315
1998-02-21,59.18712416550077,2270.9434804780167,50.2633522592689,11.084519089204273,0.0,14.482345562187353,1753.7873843667473,17.26802733106666,9.712793725600783,9.984175296468077,79.26246640247554,2271.745647008893,29.41814303898746,6.306232225542483,12.500024228978106,2221.318838469804,22.958180342657744,1.1144873144929062,87.82411937588677,13.316456585994112,2196.6512707077004,19.478642615491204,113.32056157175495,0.0,0.0,0.0,0.0,0.3679769707935958,2197.626668613523,1834.2267775279392,7.159990726206331,8.496341125089197,1391.7401088390936,3866.8637026793185,3.7452584331905756,3524.707780154303,233.65224660896092,3702.710166120924,341.04490324163356,233.65224660896092,3702.710166120924
